Tier,Species,Drug,Rationale,window_start,window_end,n_years,n_total,median_yearly_n,country_year_cells_ge30,pct_left,pct_right,pct_exact,VIABLE
1,Klebsiella pneumoniae,Meropenem,Headline. KPC/NDM/OXA-48 era; long window; rich genotype overlay,2007.0,2024.0,18.0,86731.0,5269.0,690.0,55.7,9.5,34.8,True
1,Escherichia coli,Meropenem,Headline. CTX-M then carbapenemase spillover,2007.0,2024.0,18.0,100335.0,5667.0,697.0,69.8,0.7,29.5,True
1,Enterobacter cloacae,Meropenem,AmpC overproducers; meropenem MIC drift is clinically actionable,2007.0,2024.0,18.0,33614.0,2176.0,324.0,55.7,1.0,43.3,True
1,Pseudomonas aeruginosa,Meropenem,Intrinsic + acquired resistance; OprD loss + carbapenemases,2007.0,2024.0,18.0,94048.0,5408.0,696.0,3.4,10.4,86.2,True
1,Acinetobacter baumannii,Meropenem,Mostly resistant; tracks how HIGH the upper tail has climbed,2007.0,2024.0,18.0,35478.0,1803.0,386.0,0.9,58.4,40.7,True
1,Klebsiella pneumoniae,Imipenem,Complementary carbapenem for triangulation,2012.0,2024.0,13.0,60600.0,4310.0,528.0,0.2,11.2,88.6,True
2,Escherichia coli,Ceftriaxone,ESBL marker; 2004-2017 = CTX-M-15 expansion era,2004.0,2017.0,14.0,47922.0,2956.0,319.0,59.2,20.4,20.4,True
2,Klebsiella pneumoniae,Ceftriaxone,ESBL marker; companion to E. coli story,2004.0,2017.0,14.0,38031.0,2249.0,301.0,46.9,31.7,21.4,True
2,Escherichia coli,Cefepime,4th-gen cephalosporin; longer window than ceftriaxone,2008.0,2024.0,17.0,97448.0,5702.0,669.0,65.2,12.5,22.4,True
2,Klebsiella pneumoniae,Cefepime,AmpC + ESBL story,2008.0,2024.0,17.0,84435.0,5301.0,663.0,51.4,24.2,24.4,True
2,Pseudomonas aeruginosa,Cefepime,Anti-pseudomonal; drift indicates Por loss/AmpC overprod.,2008.0,2024.0,17.0,91731.0,5737.0,669.0,0.7,7.8,91.5,True
3,Escherichia coli,Ceftazidime avibactam,Novel BL/BLI; emerging resistance via KPC mutations,2012.0,2024.0,13.0,66452.0,5218.0,527.0,6.6,1.3,92.2,True
3,Klebsiella pneumoniae,Ceftazidime avibactam,Where CAZ-AVI resistance is most reported,2012.0,2024.0,13.0,60601.0,4310.0,528.0,0.9,5.5,93.5,True
3,Pseudomonas aeruginosa,Ceftazidime avibactam,PsA-specific CAZ-AVI resistance story,2012.0,2024.0,13.0,67767.0,4845.0,541.0,0.0,2.7,97.3,True
3,Klebsiella pneumoniae,Colistin,Last-resort; mcr-1 emergence,2014.0,2024.0,11.0,55567.0,5086.0,465.0,19.8,2.8,77.4,True
3,Escherichia coli,Colistin,mcr plasmid spread,2014.0,2024.0,11.0,58947.0,5441.0,459.0,32.5,0.1,67.4,True
3,Pseudomonas aeruginosa,Colistin,Last-resort PsA; baseline higher than Entero,2014.0,2024.0,11.0,64469.0,5079.0,485.0,0.6,0.2,99.2,True
